Data,Hora,Nivel
1/1/2019,0:09,1.8
1/1/2019,6:36,0.5
1/1/2019,12:38,1.7
1/1/2019,18:56,0.5
1/2/2019,1:06,1.8
1/2/2019,7:24,0.5
1/2/2019,13:24,1.8
1/2/2019,19:45,0.4
1/3/2019,1:56,1.9
1/3/2019,8:08,0.4
1/3/2019,14:08,1.9
1/3/2019,20:28,0.4
1/4/2019,2:38,1.9
1/4/2019,8:49,0.4
1/4/2019,14:49,2
1/4/2019,21:06,0.3
1/5/2019,3:51,2
1/5/2019,9:58,0.4
1/5/2019,15:58,2
1/5/2019,22:15,0.3
1/6/2019,3:51,2
1/6/2019,9:58,0.4
1/6/2019,15:58,2
1/6/2019,22:15,0.3
1/7/2019,4:24,2
1/7/2019,10:30,0.4
1/7/2019,16:34,2
1/7/2019,22:51,0.3
1/8/2019,5:00,1.9
1/8/2019,11:02,0.4
1/8/2019,17:06,2
1/8/2019,23:23,0.3
1/9/2019,5:34,1.9
1/9/2019,11:38,0.5
1/9/2019,17:43,2
1/9/2019,23:58,0.4
1/10/2019,6:09,1.8
1/10/2019,12:11,0.5
1/10/2019,18:19,1.9
1/11/2019,0:36,0.5
1/11/2019,6:51,1.7
1/11/2019,12:51,0.6
1/11/2019,19:02,1.8
1/12/2019,1:17,0.6
1/12/2019,7:34,1.7
1/12/2019,13:36,0.7
1/12/2019,19:51,1.7
1/13/2019,2:08,0.6
1/13/2019,8:26,1.6
1/13/2019,14:32,0.7
1/13/2019,20:49,1.7
1/14/2019,3:09,0.7
1/14/2019,9:32,1.5
1/14/2019,15:41,0.8
1/14/2019,21:56,1.6
1/15/2019,4:23,0.7
1/15/2019,10:43,1.6
1/15/2019,16:58,0.7
1/15/2019,23:08,1.7
1/16/2019,5:36,0.7
1/16/2019,11:49,1.7
1/16/2019,18:06,0.6
1/17/2019,0:15,1.8
1/17/2019,6:38,0.6
1/17/2019,12:47,1.8
1/17/2019,19:04,0.5
1/18/2019,1:13,1.9
1/18/2019,7:32,0.4
1/18/2019,13:39,1.9
1/18/2019,19:58,0.3
1/19/2019,2:06,2
1/19/2019,8:21,0.3
1/19/2019,14:28,2.1
1/19/2019,20:47,0.1
1/20/2019,2:58,2.1
1/20/2019,9:08,0.2
1/20/2019,15:15,2.2
1/20/2019,21:36,0
1/21/2019,3:47,2.2
1/21/2019,9:54,0.2
1/21/2019,16:06,2.3
1/21/2019,22:21,0
1/22/2019,4:32,2.2
1/22/2019,10:39,0.1
1/22/2019,16:49,2.3
1/22/2019,23:08,0
1/23/2019,5:17,2.2
1/23/2019,11:24,0.2
1/23/2019,17:36,2.3
1/23/2019,23:58,0
1/24/2019,6:04,2.1
1/24/2019,12:11,0.2
1/24/2019,18:23,2.2
1/25/2019,0:47,0.2
1/25/2019,6:54,2
1/25/2019,13:00,0.4
1/25/2019,19:11,2.1
1/26/2019,1:38,0.3
1/26/2019,7:45,1.8
1/26/2019,13:53,0.5
1/26/2019,20:06,1.9
1/27/2019,2:34,0.5
1/27/2019,8:39,1.7
1/27/2019,14:53,0.6
1/27/2019,21:09,1.7
1/28/2019,3:43,0.6
1/28/2019,9:45,1.6
1/28/2019,16:06,0.7
1/28/2019,22:26,1.6
1/29/2019,4:58,0.7
1/29/2019,11:00,1.6
1/29/2019,17:28,0.7
1/29/2019,23:49,1.6
1/30/2019,6:09,0.7
1/30/2019,12:09,1.6
1/30/2019,18:41,0.6
1/31/2019,0:54,1.7
1/31/2019,7:08,0.6
1/31/2019,13:08,1.7
1/31/2019,19:36,0.5
2/1/2019,1:47,1.8
2/1/2019,7:56,0.6
2/1/2019,13:54,1.8
2/1/2019,20:17,0.4
2/2/2019,2:26,1.8
2/2/2019,8:36,0.5
2/2/2019,14:34,1.9
2/2/2019,20:56,0.3
2/3/2019,3:02,1.9
2/3/2019,9:08,0.4
2/3/2019,15:08,2
2/3/2019,21:28,0.3
2/4/2019,3:36,2
2/4/2019,9:43,0.4
2/4/2019,15:43,2.1
2/4/2019,22:00,0.2
2/5/2019,4:06,2
2/5/2019,10:45,0.3
2/5/2019,16:47,2.1
2/5/2019,23:02,0.2
2/6/2019,4:39,2
2/6/2019,10:45,0.3
2/6/2019,16:47,2.1
2/6/2019,23:02,0.3
2/7/2019,5:09,2
2/7/2019,11:13,0.4
2/7/2019,17:19,2.1
2/7/2019,23:34,0.3
2/8/2019,5:43,1.9
2/8/2019,11:47,0.4
2/8/2019,17:54,2
2/9/2019,0:04,0.4
2/9/2019,6:15,1.9
2/9/2019,12:19,0.5
2/9/2019,18:30,1.9
2/10/2019,0:41,0.5
2/10/2019,6:54,1.8
2/10/2019,12:56,0.6
2/10/2019,19:09,1.8
2/11/2019,1:21,0.6
2/11/2019,7:38,1.7
2/11/2019,13:43,0.6
2/11/2019,20:00,1.7
2/12/2019,2:11,0.7
2/12/2019,8:32,1.6
2/12/2019,14:43,0.7
2/12/2019,21:06,1.6
2/13/2019,3:21,0.7
2/13/2019,9:45,1.6
2/13/2019,16:04,0.7
2/13/2019,22:28,1.6
2/14/2019,4:53,0.8
2/14/2019,11:06,1.6
2/14/2019,17:36,0.6
2/14/2019,23:53,1.7
2/15/2019,6:13,0.7
2/15/2019,12:23,1.7
2/15/2019,18:49,0.5
2/16/2019,1:00,1.8
2/16/2019,7:17,0.5
2/16/2019,13:23,1.9
2/16/2019,19:47,0.3
2/17/2019,1:58,2
2/17/2019,8:09,0.4
2/17/2019,14:15,2.1
2/17/2019,20:38,0.1
2/18/2019,2:47,2.2
2/18/2019,8:56,0.2
2/18/2019,15:02,2.3
2/18/2019,21:23,0
2/19/2019,3:32,2.3
2/19/2019,9:41,0.1
2/19/2019,15:49,2.4
2/19/2019,22:08,-0.1
2/20/2019,4:15,2.3
2/20/2019,10:23,0
2/20/2019,16:32,2.4
2/20/2019,22:53,-0.1
2/21/2019,4:58,2.3
2/21/2019,11:06,0.1
2/21/2019,17:15,2.4
2/21/2019,23:36,0
2/22/2019,5:41,2.2
2/22/2019,11:49,0.1
2/22/2019,18:00,2.3
2/23/2019,0:17,0.1
2/23/2019,6:23,2.1
2/23/2019,12:30,0.3
2/23/2019,18:45,2.1
2/24/2019,1:02,0.3
2/24/2019,7:06,1.9
2/24/2019,13:15,0.4
2/24/2019,19:34,1.9
2/25/2019,1:53,0.5
